CustomerID,Age,Gender,Income,Location,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,Tenure,CallMinutes,DataUsage,ServiceCalls,SatisfactionScore,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,Churn
CID000019,26,Female,45500.0,Rural,One Year,Bank transfer,58.92,59.14,1,177.0,66.3,2,5.0,No,DSL,Yes,No,Yes,Yes,No
CID000020,18,Female,168700.0,Urban,Two Year,Electronic check,50.43,48.55,1,86.0,34.8,0,2.0,No,Fiber optic,Yes,No,Yes,No,Yes
CID000021,61,Female,37700.0,Urban,One Year,Electronic check,63.36,62.31,1,199.0,66.1,1,4.0,No,No,No,No,No,No,Yes
CID000022,36,Male,151800.0,Suburban,Two Year,Electronic check,43.86,125.9,3,167.0,34.0,2,5.0,Yes,DSL,Yes,Yes,No,No,No
CID000023,41,Female,106100.0,Urban,Month-to-Month,Credit card,64.73,196.33,3,336.0,14.5,3,3.0,Yes,Fiber optic,Yes,Yes,Yes,No,Yes
CID000024,18,Female,31600.0,Suburban,Two Year,Bank transfer,55.07,741.5,13,133.0,12.5,6,4.0,Yes,Fiber optic,No,No,Yes,Yes,Yes
CID000025,31,Male,74200.0,Suburban,Month-to-Month,Electronic check,84.75,698.99,8,266.0,4.6,3,4.0,No,Fiber optic,No,No,No,Yes,Yes
CID000026,41,Male,57800.0,Rural,Two Year,Bank transfer,35.55,3055.72,83,218.0,2.3,3,2.0,Yes,Fiber optic,No,Yes,No,Yes,No
CID000027,22,Male,92800.0,Suburban,Month-to-Month,Mailed check,79.13,995.22,13,141.0,6.2,1,1.0,No,No,No,No,No,No,No
CID000028,45,Male,51200.0,Urban,One Year,Credit card,65.13,264.43,4,117.0,,3,4.0,No,DSL,Yes,Yes,Yes,No,No
CID000029,30,Male,48300.0,Urban,One Year,Credit card,72.56,5159.44,68,118.0,3.6,1,5.0,No,Fiber optic,No,Yes,Yes,No,Yes
CID000030,35,Female,156100.0,Suburban,Two Year,Electronic check,41.28,3905.33,92,68.0,75.5,1,2.0,No,No,No,No,No,No,No
CID000031,30,Male,55900.0,Urban,One Year,Bank transfer,66.54,569.12,9,255.0,6.2,6,2.0,Yes,Fiber optic,No,Yes,Yes,Yes,No
CID000032,67,Male,106800.0,Rural,Month-to-Month,Mailed check,32.49,33.73,1,191.0,44.8,2,2.0,No,No,No,No,No,No,No
CID000033,39,Female,51100.0,Suburban,Month-to-Month,Electronic check,62.5,829.22,13,113.0,42.7,1,4.0,Yes,No,No,No,No,No,No
CID000034,24,Female,192300.0,Urban,Month-to-Month,Bank transfer,63.45,488.42,8,127.0,3.8,0,4.0,Yes,DSL,No,Yes,No,No,No
CID000035,52,Female,37200.0,Rural,Month-to-Month,Mailed check,71.57,140.48,2,216.0,31.0,2,5.0,No,Fiber optic,No,No,No,No,Yes
CID000036,21,Male,39000.0,Urban,Month-to-Month,Electronic check,84.49,243.78,3,161.0,43.4,1,5.0,No,No,No,No,No,No,No
CID000037,43,Female,174100.0,Urban,Month-to-Month,Bank transfer,48.1,2755.5,56,325.0,53.9,1,4.0,Yes,DSL,No,Yes,Yes,No,No
CID000038,18,Female,43900.0,Suburban,Month-to-Month,Bank transfer,94.01,268.03,3,256.0,77.0,3,4.0,Yes,DSL,No,No,No,No,Yes
CID000039,20,Male,183600.0,Rural,Two Year,Electronic check,26.51,26.42,1,156.0,66.5,1,4.0,Yes,Fiber optic,No,No,Yes,No,Yes
CID000040,42,Male,111800.0,Suburban,Two Year,Electronic check,33.11,208.59,6,146.0,9.3,1,4.0,No,DSL,No,Yes,Yes,Yes,No
CID000041,51,Female,53700.0,Urban,Month-to-Month,Bank transfer,88.81,919.28,10,219.0,7.8,1,5.0,No,No,No,No,No,No,No
CID000042,42,Female,16800.0,Urban,Month-to-Month,Electronic check,72.08,363.54,5,85.0,12.7,3,3.0,No,Fiber optic,No,Yes,No,No,Yes
CID000043,38,Female,59100.0,Urban,Month-to-Month,Credit card,104.13,4352.13,41,156.0,15.6,1,3.0,No,No,No,No,No,No,No
CID000044,35,Female,64300.0,Urban,Month-to-Month,Electronic check,85.32,4051.6,47,112.0,6.7,2,5.0,No,Fiber optic,No,No,Yes,No,No
CID000045,18,Female,135500.0,Urban,Month-to-Month,Electronic check,70.25,72.43,1,336.0,2.3,3,4.0,No,Fiber optic,Yes,Yes,No,No,No
CID000046,29,Female,182000.0,Suburban,Month-to-Month,Electronic check,60.16,812.27,13,234.0,26.7,4,4.0,No,DSL,No,No,Yes,No,No
CID000047,33,Male,37100.0,Rural,Month-to-Month,Mailed check,57.45,1297.59,22,364.0,4.8,3,5.0,No,DSL,No,No,Yes,No,Yes
CID000048,55,Male,,Urban,Month-to-Month,Bank transfer,77.34,299.52,4,267.0,61.6,1,4.0,No,Fiber optic,No,Yes,Yes,Yes,Yes
CID000049,45,Male,,Urban,Month-to-Month,Mailed check,58.37,288.13,5,138.0,8.5,3,1.0,No,No,No,No,No,No,Yes
CID000050,18,Female,126900.0,Rural,Month-to-Month,Electronic check,74.99,154.25,2,205.0,5.5,1,5.0,No,DSL,No,Yes,Yes,No,Yes
CID000051,44,Female,84900.0,Suburban,One Year,Credit card,49.86,205.89,4,114.0,5.4,0,,Yes,DSL,No,No,Yes,No,No
CID000052,34,Female,15400.0,Rural,One Year,Electronic check,63.04,1787.86,28,194.0,,2,5.0,Yes,DSL,Yes,No,Yes,No,Yes
CID000053,29,Male,53700.0,Urban,Month-to-Month,Electronic check,100.79,823.59,8,115.0,23.7,2,5.0,No,Fiber optic,No,No,No,No,No
CID000054,49,Female,26700.0,Urban,Month-to-Month,Electronic check,81.09,5648.44,72,89.0,95.8,0,4.0,Yes,Fiber optic,No,No,No,Yes,Yes
CID000055,55,Male,52000.0,Suburban,Month-to-Month,Electronic check,60.63,5028.07,84,61.0,16.7,1,,Yes,No,No,No,No,No,No
CID000056,53,Male,118900.0,Suburban,Month-to-Month,Electronic check,77.02,3864.34,50,205.0,22.9,1,4.0,No,Fiber optic,No,No,Yes,No,No
CID000057,27,Female,74100.0,Suburban,Month-to-Month,Electronic check,75.53,6413.86,81,206.0,46.2,2,5.0,No,No,No,No,No,No,Yes
CID000058,35,Female,133700.0,Suburban,Month-to-Month,Electronic check,74.13,1985.05,26,271.0,10.2,1,3.0,No,No,No,No,No,No,Yes
CID000059,44,Other,,Urban,Month-to-Month,Credit card,77.68,451.75,6,70.0,5.0,3,4.0,No,Fiber optic,Yes,No,No,Yes,No
CID000060,54,Male,24100.0,Suburban,Month-to-Month,Electronic check,88.15,4776.69,55,177.0,14.2,0,2.0,No,Fiber optic,No,Yes,Yes,Yes,Yes
CID000061,32,Female,10300.0,Suburban,One Year,Credit card,76.12,1997.06,27,66.0,9.6,0,5.0,No,Fiber optic,Yes,No,Yes,Yes,No
CID000062,37,Male,66400.0,Urban,Month-to-Month,Bank transfer,70.04,4123.87,61,91.0,50.3,5,5.0,No,DSL,No,No,No,No,Yes
CID000063,23,Male,51500.0,Suburban,Month-to-Month,Electronic check,42.44,40.83,1,500.0,95.3,3,4.0,Yes,Fiber optic,No,No,Yes,No,No
CID000064,22,Female,30200.0,Suburban,Month-to-Month,Mailed check,71.7,75.04,1,340.0,29.1,2,4.0,Yes,Fiber optic,Yes,No,No,Yes,Yes
CID000065,52,Female,18200.0,Urban,Month-to-Month,Mailed check,66.85,834.82,12,336.0,26.5,5,4.0,No,Fiber optic,No,Yes,No,Yes,Yes
CID000066,60,Female,35800.0,Urban,Two Year,Electronic check,55.51,665.0,12,146.0,31.3,5,5.0,Yes,Fiber optic,Yes,No,No,No,No
CID000067,38,Male,52300.0,Urban,One Year,Credit card,41.84,714.73,17,229.0,15.8,1,5.0,Yes,Fiber optic,No,No,Yes,No,No
CID000068,55,Female,,Urban,Month-to-Month,Bank transfer,80.01,6369.39,77,126.0,24.8,1,4.0,No,DSL,No,No,Yes,No,No
CID000069,45,Male,,Suburban,One Year,Credit card,61.91,3644.22,58,170.0,1.8,3,3.0,No,DSL,Yes,No,Yes,No,No
CID000070,30,Female,184500.0,Rural,One Year,Credit card,45.39,464.46,10,259.0,17.0,1,4.0,No,DSL,Yes,No,No,No,No
CID000071,45,Male,29000.0,Urban,Month-to-Month,Electronic check,28.52,58.7,2,215.0,10.1,2,4.0,No,Fiber optic,No,No,Yes,Yes,Yes
CID000072,63,Male,110900.0,Urban,Month-to-Month,Electronic check,87.38,785.09,9,77.0,,2,5.0,Yes,No,No,No,No,No,No
CID000073,39,Female,61900.0,Rural,Two Year,Electronic check,40.11,630.22,15,304.0,19.7,0,5.0,No,DSL,No,No,Yes,No,No
CID000074,63,Female,97400.0,Urban,Month-to-Month,Credit card,40.4,122.76,3,218.0,11.2,2,4.0,No,No,No,No,No,No,No
CID000075,18,Male,44100.0,Urban,Month-to-Month,Credit card,58.71,5175.95,87,229.0,22.3,1,4.0,Yes,Fiber optic,Yes,No,No,No,No
CID000076,52,Male,126800.0,Urban,Month-to-Month,Mailed check,93.43,270.23,3,211.0,18.0,5,5.0,No,DSL,No,No,No,Yes,No
CID000077,41,Female,73600.0,Suburban,One Year,Electronic check,62.93,593.99,9,187.0,8.1,1,,Yes,Fiber optic,No,No,No,Yes,No
CID000078,35,Male,37200.0,Urban,Two Year,Electronic check,54.45,104.23,2,196.0,19.4,5,4.0,Yes,Fiber optic,No,No,Yes,No,Yes
CID000079,41,Male,59400.0,Suburban,One Year,Credit card,59.28,1305.34,21,225.0,11.9,2,1.0,No,Fiber optic,No,No,No,Yes,Yes
CID000080,18,Male,50600.0,Urban,One Year,Credit card,64.52,3291.28,49,210.0,63.5,1,2.0,No,Fiber optic,Yes,Yes,Yes,No,Yes
CID000081,36,Male,84300.0,Urban,Two Year,Electronic check,47.96,447.02,9,314.0,11.8,0,,Yes,Fiber optic,Yes,No,Yes,No,No
CID000082,45,Female,26200.0,Urban,One Year,Electronic check,52.94,53.86,1,136.0,1.0,2,1.0,No,DSL,No,Yes,No,Yes,No
CID000083,62,Female,58700.0,Suburban,One Year,Electronic check,50.39,3260.07,64,194.0,36.1,0,3.0,No,DSL,No,No,No,Yes,No
CID000084,32,Female,79000.0,Suburban,Two Year,Electronic check,46.94,2660.64,54,139.0,82.9,4,,No,DSL,No,No,Yes,Yes,Yes
CID000085,27,Other,61300.0,Urban,Month-to-Month,Credit card,118.27,3096.9,25,154.0,4.6,4,4.0,Yes,DSL,Yes,No,No,No,Yes
CID000086,32,Male,153700.0,Urban,One Year,Mailed check,68.56,212.09,3,83.0,90.1,1,4.0,No,Fiber optic,Yes,No,Yes,Yes,No
CID000087,53,Male,102900.0,Suburban,One Year,Bank transfer,47.13,497.01,11,170.0,24.0,0,5.0,No,DSL,Yes,No,Yes,No,No
CID000088,44,Male,59600.0,Rural,Two Year,Mailed check,36.69,36.22,1,500.0,47.0,4,4.0,No,Fiber optic,No,Yes,No,Yes,No
CID000089,32,Male,69700.0,Urban,Two Year,Electronic check,49.1,712.55,14,226.0,16.0,5,4.0,No,Fiber optic,No,No,Yes,No,No
CID000090,47,Male,73600.0,Suburban,One Year,Electronic check,34.36,525.84,15,,24.4,2,4.0,No,Fiber optic,No,No,No,No,No
CID000091,41,Female,79400.0,Urban,Two Year,Credit card,59.06,2784.55,49,117.0,46.0,3,4.0,Yes,DSL,No,No,No,Yes,No
CID000092,54,Female,,Urban,Month-to-Month,Bank transfer,18.94,242.48,13,212.0,101.6,3,4.0,No,Fiber optic,No,No,No,No,No
CID000093,29,Male,48500.0,Urban,Month-to-Month,Electronic check,63.76,2306.44,38,103.0,5.1,4,5.0,No,No,No,No,No,No,No
CID000094,35,Female,21200.0,Suburban,Month-to-Month,Electronic check,34.0,282.68,8,266.0,57.3,3,4.0,No,Fiber optic,Yes,Yes,Yes,No,Yes
CID000095,34,Female,146500.0,Urban,Month-to-Month,Electronic check,78.96,8091.04,100,107.0,27.5,3,,No,DSL,No,No,No,No,Yes
CID000096,18,Female,,Rural,Month-to-Month,Electronic check,54.84,2669.92,49,500.0,73.4,1,,Yes,DSL,Yes,No,Yes,Yes,No
CID000097,44,Female,,Suburban,Month-to-Month,Bank transfer,84.09,86.28,1,223.0,9.6,2,5.0,No,No,No,No,No,No,Yes
CID000098,43,Female,112200.0,Rural,Month-to-Month,Mailed check,26.72,306.66,11,109.0,6.9,1,1.0,No,Fiber optic,No,No,No,No,Yes
CID000099,40,Female,80500.0,Urban,Two Year,Mailed check,61.3,3956.75,66,128.0,11.4,0,2.0,No,No,No,No,No,No,Yes
CID000100,36,Female,27200.0,Urban,Month-to-Month,Credit card,77.02,452.22,6,200.0,54.0,2,2.0,Yes,Fiber optic,Yes,Yes,No,No,No
CID000101,18,Female,57000.0,Rural,Two Year,Mailed check,49.65,49.56,1,371.0,15.4,4,4.0,Yes,Fiber optic,Yes,No,Yes,No,No
CID000102,33,Male,47400.0,Suburban,Two Year,Electronic check,41.58,1994.69,47,183.0,75.6,5,4.0,Yes,Fiber optic,No,No,No,Yes,Yes
CID000103,34,Male,17700.0,Rural,Month-to-Month,Electronic check,63.81,334.78,5,48.0,6.9,0,4.0,No,DSL,Yes,No,No,Yes,No
CID000104,27,Female,,Urban,Month-to-Month,Credit card,84.34,162.99,2,178.0,,4,,No,Fiber optic,No,No,No,No,Yes
CID000105,37,Male,52700.0,Urban,One Year,Bank transfer,47.47,513.93,11,225.0,28.4,4,3.0,No,DSL,No,Yes,Yes,Yes,No
CID000106,46,Male,55200.0,Suburban,One Year,Electronic check,58.32,747.81,13,112.0,8.6,0,5.0,Yes,Fiber optic,No,Yes,Yes,No,No
CID000107,68,Female,21200.0,Urban,Month-to-Month,Bank transfer,63.99,719.79,11,151.0,3.5,1,2.0,No,Fiber optic,No,Yes,Yes,Yes,No
CID000108,42,Male,134100.0,Suburban,Month-to-Month,Mailed check,73.63,152.95,2,307.0,11.8,1,5.0,No,Fiber optic,Yes,No,Yes,Yes,No
CID000109,43,Female,55700.0,Urban,Month-to-Month,Credit card,42.12,244.73,6,251.0,7.7,1,5.0,Yes,DSL,Yes,Yes,No,No,Yes
CID000110,38,Female,61500.0,Urban,Month-to-Month,Credit card,99.04,606.94,6,197.0,13.3,1,5.0,No,Fiber optic,No,No,No,Yes,No
CID000111,18,Female,79300.0,Urban,Month-to-Month,Bank transfer,88.73,2401.48,26,160.0,5.2,1,3.0,No,DSL,Yes,No,Yes,Yes,No
CID000112,39,Male,34500.0,Urban,Month-to-Month,Bank transfer,34.55,2360.15,71,168.0,78.7,4,4.0,No,Fiber optic,No,No,No,No,Yes
CID000113,40,Male,82400.0,Urban,One Year,Electronic check,30.54,464.29,15,151.0,40.4,0,4.0,No,DSL,No,No,No,Yes,No
CID000114,76,Female,46300.0,Suburban,Two Year,Bank transfer,64.06,372.92,6,330.0,46.0,1,4.0,Yes,DSL,Yes,Yes,No,No,Yes
CID000115,37,Female,32000.0,Urban,One Year,Credit card,61.0,4548.07,75,250.0,8.8,2,5.0,Yes,Fiber optic,Yes,No,Yes,No,No
CID000116,44,Other,89400.0,Urban,Two Year,Mailed check,31.98,2740.0,89,301.0,48.6,3,5.0,Yes,Fiber optic,No,No,No,No,No
CID000117,39,Male,170100.0,Rural,One Year,Bank transfer,52.58,3266.27,61,,22.3,0,4.0,No,DSL,No,Yes,Yes,Yes,No
CID000118,22,Male,99400.0,Suburban,One Year,Credit card,55.65,220.4,4,120.0,1.5,3,,No,No,No,No,No,No,No
CID000119,57,Female,114200.0,Urban,Month-to-Month,Electronic check,82.78,333.35,4,113.0,4.2,3,,No,DSL,No,No,No,No,No
CID000120,51,Male,,Suburban,Month-to-Month,Electronic check,88.9,1069.31,12,65.0,14.8,4,3.0,No,Fiber optic,Yes,Yes,Yes,Yes,Yes
CID000121,51,Female,19600.0,Rural,One Year,Bank transfer,61.88,3280.18,52,228.0,12.5,3,4.0,No,Fiber optic,No,No,No,No,No
CID000122,26,Male,169900.0,Urban,Two Year,Credit card,48.28,50.19,1,123.0,39.7,2,5.0,Yes,Fiber optic,Yes,No,Yes,No,No
CID000123,61,Male,252200.0,Urban,Month-to-Month,Credit card,60.51,650.95,11,123.0,51.7,2,4.0,Yes,Fiber optic,No,No,No,No,No
CID000124,18,Male,,Suburban,Month-to-Month,Bank transfer,98.16,297.28,3,134.0,50.0,2,5.0,Yes,DSL,No,Yes,No,Yes,Yes
CID000125,48,Male,47300.0,Urban,One Year,Credit card,53.67,108.13,2,141.0,11.8,3,,Yes,Fiber optic,Yes,No,Yes,Yes,Yes
CID000126,72,Female,26700.0,Suburban,Month-to-Month,Bank transfer,80.34,4100.45,52,79.0,25.2,2,5.0,Yes,No,No,No,No,No,No
CID000127,25,Female,28400.0,Rural,Month-to-Month,Electronic check,48.53,824.98,17,473.0,17.2,1,1.0,No,No,No,No,No,No,Yes
CID000128,31,Male,,Rural,One Year,Credit card,41.0,391.16,10,68.0,54.9,4,3.0,Yes,DSL,No,No,No,No,Yes
CID000129,41,Female,55500.0,Urban,Month-to-Month,Electronic check,73.82,219.84,3,273.0,,2,1.0,No,DSL,Yes,No,No,Yes,Yes
CID000130,32,Male,184200.0,Urban,One Year,Electronic check,54.31,795.96,15,254.0,1.4,5,1.0,No,Fiber optic,Yes,No,No,Yes,No
CID000131,18,Female,54200.0,Rural,Two Year,Electronic check,36.25,225.42,6,411.0,21.2,3,5.0,Yes,DSL,No,Yes,No,Yes,No
CID000132,41,Male,74000.0,Suburban,Month-to-Month,Electronic check,63.56,3634.06,58,84.0,17.5,2,3.0,Yes,Fiber optic,Yes,No,Yes,Yes,No
CID000133,24,Female,156800.0,Urban,Month-to-Month,Electronic check,119.75,1392.77,12,460.0,36.8,4,3.0,Yes,No,No,No,No,No,Yes
CID000134,47,Female,45100.0,Suburban,Month-to-Month,Electronic check,69.25,4861.88,70,313.0,5.4,3,3.0,Yes,DSL,No,Yes,Yes,No,No
CID000135,26,Female,248900.0,Urban,Month-to-Month,Electronic check,64.0,4025.4,61,93.0,29.7,2,5.0,No,No,No,No,No,No,No
CID000136,63,Female,241500.0,Urban,One Year,Electronic check,55.53,547.2,10,167.0,33.5,1,4.0,No,Fiber optic,No,No,No,No,No
CID000137,28,Female,54600.0,Rural,Month-to-Month,Mailed check,93.97,3208.56,33,236.0,0.7,2,4.0,No,DSL,Yes,Yes,No,No,No
CID000138,35,Female,40000.0,Urban,Month-to-Month,Credit card,67.1,1648.33,25,184.0,14.1,0,,No,DSL,No,Yes,No,Yes,Yes
CID000139,52,Female,97500.0,Urban,Month-to-Month,Credit card,74.97,4450.7,58,151.0,96.5,2,4.0,No,DSL,Yes,No,No,No,No
CID000140,21,Female,,Urban,Month-to-Month,Credit card,84.33,81.09,1,104.0,8.9,1,2.0,No,Fiber optic,Yes,No,No,Yes,No
CID000141,43,Female,26600.0,Suburban,Month-to-Month,Mailed check,96.08,5512.42,60,179.0,54.0,0,,No,Fiber optic,No,No,No,Yes,No
CID000142,59,Male,146800.0,Urban,One Year,Bank transfer,49.09,452.31,9,216.0,22.1,0,4.0,No,DSL,No,No,Yes,No,No
CID000143,18,Female,140300.0,Suburban,Month-to-Month,Electronic check,50.75,200.33,4,,8.8,0,4.0,No,DSL,No,No,No,Yes,Yes
CID000144,42,Male,66800.0,Suburban,Month-to-Month,Electronic check,55.72,551.24,10,147.0,45.2,3,5.0,No,Fiber optic,Yes,No,Yes,No,No
CID000145,43,Female,,Rural,Month-to-Month,Bank transfer,83.06,251.03,3,112.0,116.8,2,4.0,No,Fiber optic,No,No,Yes,No,No
CID000146,51,Male,25300.0,Urban,Two Year,Bank transfer,57.68,907.32,15,106.0,33.9,2,5.0,No,DSL,Yes,No,Yes,No,No
CID000147,21,Female,64500.0,Rural,Month-to-Month,Credit card,73.92,71.49,1,143.0,1.6,3,4.0,Yes,Fiber optic,No,Yes,Yes,No,Yes
CID000148,20,Male,,Urban,One Year,Bank transfer,74.69,4904.07,67,241.0,1.3,1,4.0,Yes,No,No,No,No,No,No
CID000149,47,Male,47200.0,Suburban,Month-to-Month,Electronic check,85.37,346.56,4,144.0,16.9,0,4.0,Yes,DSL,No,No,No,Yes,No
CID000150,44,Female,122400.0,Urban,One Year,Credit card,50.67,1860.78,36,360.0,0.2,2,,Yes,Fiber optic,No,No,No,Yes,No
CID000151,43,Female,100000.0,Urban,Month-to-Month,Bank transfer,40.01,775.86,19,277.0,28.2,0,5.0,No,Fiber optic,No,No,No,No,No
CID000152,45,Male,157100.0,Suburban,Two Year,Credit card,45.61,3085.02,67,198.0,0.4,1,5.0,No,DSL,No,No,Yes,Yes,No
CID000153,29,Male,29900.0,Urban,One Year,Credit card,68.06,1029.91,15,38.0,90.4,2,5.0,Yes,No,No,No,No,No,No
CID000154,43,Female,47100.0,Urban,One Year,Electronic check,67.41,3967.31,61,196.0,53.1,1,2.0,No,DSL,No,No,Yes,No,No
CID000155,44,Female,,Urban,Month-to-Month,Electronic check,33.94,1473.18,42,124.0,42.2,2,4.0,No,No,No,No,No,No,No
CID000156,29,Male,81900.0,Suburban,One Year,Electronic check,24.58,46.75,2,196.0,41.8,1,,No,Fiber optic,Yes,No,Yes,Yes,Yes
CID000157,67,Male,175000.0,Urban,One Year,Electronic check,70.36,837.36,12,97.0,45.0,2,2.0,Yes,Fiber optic,No,Yes,Yes,Yes,Yes
CID000158,47,Male,,Urban,Month-to-Month,Electronic check,84.3,245.7,3,130.0,14.2,3,2.0,Yes,Fiber optic,Yes,No,Yes,Yes,Yes
CID000159,22,Female,218300.0,Urban,Month-to-Month,Mailed check,77.19,74.14,1,428.0,39.2,3,4.0,No,No,No,No,No,No,Yes
CID000160,49,Male,87400.0,Suburban,One Year,Credit card,73.58,72.25,1,183.0,11.4,1,4.0,No,No,No,No,No,No,No
CID000161,25,Male,,Urban,Month-to-Month,Credit card,74.21,4522.59,60,214.0,47.2,0,4.0,No,Fiber optic,No,No,No,Yes,Yes
CID000162,51,Male,47700.0,Urban,One Year,Bank transfer,40.07,801.17,20,200.0,24.1,0,3.0,No,DSL,No,Yes,No,No,No
CID000163,57,Male,60500.0,Urban,Month-to-Month,Electronic check,63.79,794.07,12,283.0,11.1,3,4.0,No,Fiber optic,Yes,Yes,Yes,No,No
CID000164,27,Female,113300.0,Urban,Month-to-Month,Electronic check,68.46,4286.83,62,374.0,34.2,1,2.0,Yes,No,No,No,No,No,Yes
CID000165,54,Male,185200.0,Suburban,One Year,Bank transfer,51.45,3663.13,73,476.0,7.0,3,1.0,No,No,No,No,No,No,No
CID000166,46,Male,99800.0,Suburban,Month-to-Month,Electronic check,58.25,175.02,3,376.0,83.6,2,1.0,No,Fiber optic,Yes,Yes,Yes,No,No
CID000167,52,Male,56500.0,Rural,Two Year,Credit card,49.07,4009.51,84,366.0,27.3,2,4.0,No,Fiber optic,No,Yes,No,Yes,No
CID000168,68,Male,157000.0,Urban,Two Year,Credit card,41.72,3068.83,76,169.0,12.8,3,5.0,No,Fiber optic,Yes,No,Yes,No,No
CID000169,36,Male,12900.0,Rural,One Year,Electronic check,28.03,29.31,1,205.0,20.0,2,4.0,Yes,Fiber optic,No,No,Yes,Yes,No
CID000170,28,Female,22100.0,Urban,One Year,Bank transfer,61.61,1719.57,28,266.0,33.4,5,3.0,No,DSL,No,No,Yes,No,No
CID000171,26,Female,96500.0,Rural,Two Year,Electronic check,62.45,2852.74,45,281.0,39.9,4,2.0,No,Fiber optic,Yes,Yes,Yes,No,No
CID000172,27,Female,60500.0,Urban,Month-to-Month,Bank transfer,25.9,214.94,8,280.0,92.2,4,4.0,No,Fiber optic,No,No,No,Yes,Yes
CID000173,38,Female,91500.0,Suburban,One Year,Electronic check,62.49,368.27,6,,5.9,0,5.0,Yes,DSL,No,Yes,No,No,Yes
CID000174,45,Female,62600.0,Urban,Month-to-Month,Electronic check,49.78,204.88,4,162.0,17.6,1,4.0,No,No,No,No,No,No,No
CID000175,44,Male,89300.0,Urban,Month-to-Month,Bank transfer,83.6,602.1,7,199.0,2.4,3,2.0,Yes,No,No,No,No,No,Yes
CID000176,52,Female,33900.0,Rural,Month-to-Month,Bank transfer,77.62,641.08,8,114.0,2.1,1,5.0,No,DSL,Yes,No,Yes,No,No
CID000177,40,Female,89300.0,Suburban,One Year,Bank transfer,75.79,440.62,6,244.0,2.8,2,4.0,No,DSL,Yes,Yes,No,No,No
CID000178,61,Female,120100.0,Rural,Month-to-Month,Mailed check,53.11,4000.91,72,130.0,7.5,2,,No,DSL,Yes,No,Yes,No,No
CID000179,36,Female,140700.0,Suburban,Month-to-Month,Bank transfer,71.31,418.22,6,356.0,29.8,1,3.0,Yes,Fiber optic,No,Yes,Yes,No,No
CID000180,80,Male,,Suburban,One Year,Credit card,97.34,1600.55,16,131.0,49.4,4,,No,DSL,No,No,No,Yes,Yes
